Day,Month,Year,Type,Own_Team,Opp_Team,Own_Goal,Opp_Goal
7,7,2021,EURO,England,Denmark,2,1
7,7,2021,EURO,Denmark,England,1,2
7,7,2021,Copa America,Argentina,Colombia,1,1
7,7,2021,Copa America,Colombia,Argentina,1,1
6,7,2021,EURO,Italy,Spain,1,1
6,7,2021,EURO,Spain,Italy,1,1
6,7,2021,Copa America,Brazil,Peru,1,0
6,7,2021,Copa America,Peru,Brazil,0,1
4,7,2021,Copa America,Argentina,Ecuador,3,0
4,7,2021,Copa America,Ecuador,Argentina,0,3
3,7,2021,EURO,Czech Republic,Denmark,1,2
3,7,2021,EURO,Ukraine,England,1,2
3,7,2021,EURO,Denmark,Czech Republic,2,1
3,7,2021,EURO,England,Ukraine,2,1
3,7,2021,Copa America,Brazil,Chile,1,0
3,7,2021,Copa America,Uruguay,Colombia,1,0
3,7,2021,Copa America,Chile,Brazil,0,1
3,7,2021,Copa America,Colombia,Uruguay,0,1
2,7,2021,EURO,Switzerland,Spain,1,1
2,7,2021,EURO,Belgium,Italy,1,1
2,7,2021,EURO,Spain,Switzerland,1,1
2,7,2021,EURO,Italy,Belgium,1,1
2,7,2021,Copa America,Peru,Paraguay,3,3
2,7,2021,Copa America,Paraguay,Peru,3,3
29,6,2021,EURO,England,Germany,2,0
29,6,2021,EURO,Sweden,Ukraine,2,0
29,6,2021,EURO,Germany,England,0,2
29,6,2021,EURO,Ukraine,Sweden,0,2
29,6,2021,Copa America,Uruguay,Paraguay,1,0
29,6,2021,Copa America,Bolivia,Argentina,1,0
29,6,2021,Copa America,Paraguay,Uruguay,0,1
29,6,2021,Copa America,Argentina,Bolivia,0,1
28,6,2021,EURO,Croatia,Spain,3,5
28,6,2021,EURO,France,Switzerland,3,5
28,6,2021,EURO,Spain,Croatia,5,3
28,6,2021,EURO,Switzerland,France,5,3
27,6,2021,EURO,Netherlands,Czech Republic,0,2
27,6,2021,EURO,Belgium,Portugal,0,2
27,6,2021,EURO,Czech Republic,Netherlands,2,0
27,6,2021,EURO,Portugal,Belgium,2,0
27,6,2021,Copa America,Brazil,Ecuador,1,1
27,6,2021,Copa America,Venezuela,Peru,1,1
27,6,2021,Copa America,Ecuador,Brazil,1,1
27,6,2021,Copa America,Peru,Venezuela,1,1
26,6,2021,EURO,Wales,Denmark,0,4
26,6,2021,EURO,Italy,Austria,0,4
26,6,2021,EURO,Denmark,Wales,4,0
26,6,2021,EURO,Austria,Italy,4,0
25,6,2021,Copa America,Chile,Paraguay,0,2
25,6,2021,Copa America,Paraguay,Chile,2,0
24,6,2021,Copa America,Brazil,Colombia,2,1
24,6,2021,Copa America,Bolivia,Uruguay,2,1
24,6,2021,Copa America,Colombia,Brazil,1,2
24,6,2021,Copa America,Uruguay,Bolivia,1,2
23,6,2021,EURO,Slovakia,Spain,0,5
23,6,2021,EURO,Sweden,Poland,0,5
23,6,2021,EURO,Portugal,France,0,5
23,6,2021,EURO,Germany,Hungary,0,5
23,6,2021,EURO,Spain,Slovakia,5,0
23,6,2021,EURO,Poland,Sweden,5,0
23,6,2021,EURO,France,Portugal,5,0
23,6,2021,EURO,Hungary,Germany,5,0
23,6,2021,Copa America,Ecuador,Peru,2,2
23,6,2021,Copa America,Peru,Ecuador,2,2
22,6,2021,EURO,Czech Republic,England,0,1
22,6,2021,EURO,Croatia,Scotland,0,1
22,6,2021,EURO,England,Czech Republic,1,0
22,6,2021,EURO,Scotland,Croatia,1,0
22,6,2021,Copa America,Argentina,Paraguay,1,0
22,6,2021,Copa America,Paraguay,Argentina,0,1
21,6,2021,EURO,Macedonia,Netherlands,0,3
21,6,2021,EURO,Ukraine,Austria,0,3
21,6,2021,EURO,Russia,Denmark,0,3
21,6,2021,EURO,Finland,Belgium,0,3
21,6,2021,EURO,Netherlands,Macedonia,3,0
21,6,2021,EURO,Austria,Ukraine,3,0
21,6,2021,EURO,Denmark,Russia,3,0
21,6,2021,EURO,Belgium,Finland,3,0
21,6,2021,Copa America,Colombia,Peru,1,2
21,6,2021,Copa America,Uruguay,Chile,1,2
21,6,2021,Copa America,Peru,Colombia,2,1
21,6,2021,Copa America,Chile,Uruguay,2,1
20,6,2021,EURO,Italy,Wales,1,0
20,6,2021,EURO,Switzerland,Turkey,1,0
20,6,2021,EURO,Wales,Italy,0,1
20,6,2021,EURO,Turkey,Switzerland,0,1
20,6,2021,Copa America,Venezuela,Ecuador,2,2
20,6,2021,Copa America,Ecuador,Venezuela,2,2
19,6,2021,EURO,Hungary,France,1,1
19,6,2021,EURO,Portugal,Germany,1,1
19,6,2021,EURO,Spain,Poland,1,1
19,6,2021,EURO,France,Hungary,1,1
19,6,2021,EURO,Germany,Portugal,1,1
19,6,2021,EURO,Poland,Spain,1,1
19,6,2021,Copa America,Argentina,Uruguay,1,0
19,6,2021,Copa America,Uruguay,Argentina,0,1
18,6,2021,EURO,Sweden,Slovakia,1,0
18,6,2021,EURO,Croatia,Czech Republic,1,0
18,6,2021,EURO,England,Scotland,1,0
18,6,2021,EURO,Slovakia,Sweden,0,1
18,6,2021,EURO,Czech Republic,Croatia,0,1
18,6,2021,EURO,Scotland,England,0,1
